,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received,ratio
1962,1295206,14,15,1999,12,female,126.0,1,1,0,0,0,0,0,0,1.0
1963,1549189,14,20,1999,12,female,95.0,1,1,0,0,0,0,0,0,1.0
1964,1102182,14,10,1999,12,female,2.0,1,1,0,0,0,0,0,0,1.0
1967,1531762,13,1,2000,1,female,251.0,1,0,0,0,0,0,0,0,0.0
1970,1654392,13,1,2000,1,female,29.0,1,1,0,0,0,0,0,0,1.0
1973,1667509,13,30,2000,5,female,61.0,1,1,0,0,0,0,0,0,1.0
1981,1157002,14,12,1999,1,female,288.0,1,1,0,0,0,0,0,0,1.0
1983,1538205,14,22,1999,1,female,52.0,1,0,0,3,0,1,0,2,0.0
1985,1452450,14,15,1999,2,female,46.0,1,0,0,0,0,0,0,0,0.0
1986,1453444,14,3,1999,2,female,25.0,1,1,0,0,0,0,0,0,1.0
1987,1545437,14,8,1999,3,female,61.0,1,1,0,0,0,0,0,0,1.0
1989,1941184,14,1,1999,4,female,169.0,1,1,0,0,0,0,0,0,1.0
1990,1096792,14,5,1999,5,female,237.0,1,0,0,0,0,0,0,0,0.0
1992,2061012,14,4,1999,7,female,78.0,1,1,0,0,0,0,0,0,1.0
1994,1908987,14,9,1999,9,female,4.0,1,0,0,0,0,0,0,0,0.0
2000,1469876,15,1,1998,1,female,295.0,1,0,0,0,0,0,0,0,0.0
2003,1742172,15,8,1998,2,female,20.0,1,1,0,0,0,0,0,0,1.0
2004,1790874,15,17,1998,3,female,379.0,1,1,0,0,0,0,0,0,1.0
2006,1298255,15,24,1998,3,female,264.0,1,0,0,0,0,0,0,0,0.0
2008,1334691,15,1,1998,7,female,14.0,1,1,0,0,0,0,0,0,1.0
2009,1133398,15,11,1998,8,female,308.0,1,1,0,0,0,0,0,0,1.0
2011,1979329,15,21,1998,9,female,140.0,1,1,0,1,0,0,0,1,1.0
2015,2094465,17,11,1996,11,female,552.0,1,1,0,0,0,0,0,0,1.0
2017,1260841,17,18,1996,11,female,164.0,1,1,0,0,0,0,0,0,1.0
2025,2077079,16,22,1997,4,female,17.0,1,1,0,0,0,0,0,0,1.0
2026,1551394,16,17,1997,5,female,472.0,1,1,0,0,0,0,0,0,1.0
2031,1875020,16,23,1997,7,female,496.0,1,1,0,0,0,0,0,0,1.0
2032,1633549,16,21,1997,7,female,381.0,1,0,0,0,0,0,0,0,0.0
2037,1624566,16,14,1997,9,female,84.0,1,1,0,0,0,0,0,0,1.0
2038,1074725,16,17,1997,10,female,254.0,1,1,0,0,0,0,0,0,1.0
2046,1744309,18,26,1995,12,female,454.0,1,1,0,0,0,0,0,0,1.0
2058,2065025,17,15,1996,3,female,234.0,1,0,0,0,0,0,0,0,0.0
2062,1224201,17,30,1996,4,female,7.0,1,1,0,0,0,0,0,0,1.0
2065,1382541,17,11,1996,5,female,182.0,1,1,0,0,0,0,0,0,1.0
2067,1729804,17,10,1996,6,female,430.0,1,1,0,0,0,0,0,0,1.0
2068,1662986,17,26,1996,7,female,54.0,1,0,0,0,0,0,0,0,0.0
2069,1092307,17,17,1996,7,female,11.0,1,1,0,0,0,0,0,0,1.0
2071,1274374,17,17,1996,8,female,179.0,1,1,0,0,0,0,0,0,1.0
2072,1660879,17,21,1996,9,female,218.0,1,1,0,0,0,0,0,0,1.0
2074,1978053,19,18,1994,11,female,778.0,1,1,0,0,0,0,0,0,1.0
2078,1942372,19,25,1994,12,female,424.0,1,1,0,0,0,0,0,0,1.0
2080,2062690,18,12,1995,1,female,590.0,1,1,0,0,0,0,0,0,1.0
2086,1813783,18,1,1995,1,female,1.0,1,1,0,0,0,0,0,0,1.0
2088,1233395,18,17,1995,2,female,210.0,1,1,0,0,0,0,0,0,1.0
2096,1579825,18,29,1995,3,female,6.0,1,1,0,0,0,0,0,0,1.0
2097,1180617,18,27,1995,4,female,358.0,1,1,0,0,0,0,0,0,1.0
2102,1630303,18,30,1995,6,female,164.0,1,1,0,0,0,0,0,0,1.0
